xanh hoàng hôn
xanh nõn chuối
xanh thủy tinh
xanh hoang hon
xanh non chuoi
xanh thuy tinh
vàng kim loại
vang kim loai
xanh da trời
xanh da troi
xanh cô ban
xanh lá cây
xanh co ban
xanh la cay
xanh chuối
xanh berin
xanh dương
đỏ yên chi
ngọc thạch
vàng chanh
xanh berin
xanh duong
do yen chi
ngoc thach
vang chanh
xanh chuoi
oải hương
thổ hoàng
nâu tanin
xanh crôm
oai huong
tho hoang
nau tanin
xanh crom
hổ phách
cam cháy
men ngọc
hồng sẫm
lòng đào
hồng đất
mòng két
xanh thổ
ho phach
cam chay
men ngoc
hong sam
long dao
hong dat
mong ket
xanh tho
nâu sẫm
anh đào
đỏ thắm
xanh lơ
lục bảo
vòi voi
cẩm quỳ
lam sẫm
lan tím
dừa cạn
đỏ tươi
nâu đen
nau sam
anh dao
do tham
xanh lo
luc bao
voi voi
cam quy
lam sam
lan tim
dua can
do tuoi
nau den
xanh lá
ametit
hồng y
san hô
hạt dẻ
hoa cà
da cam
cá hồi
đỏ son
ametit
hong y
san ho
hat de
hoa ca
da cam
ca hoi
do son
da bò
ô liu
trắng
da bo
o liu
xanh
chàm
kaki
hồng
vàng
kaki
đen
nâu
kem
xám
mận
tía
tím
xam
đỏ
